"Anos","state_names","Consumo","","","","",""
"2004","Acre","416","","","","",""
"2005","Acre","457","","","","",""
"2006","Acre","505","","","","",""
"2007","Acre","541","","","","",""
"2008","Acre","583","","","","",""
"2009","Acre","621","","","","",""
"2010","Acre","673","","","","",""
"2011","Acre","728","","","","",""
"2012","Acre","822","","","","",""
"2013","Acre","844","","","","",""
"2014","Acre","887","","","","",""
"2015","Acre","974","","","","",""
"2016","Acre","1014","","","","",""
"2017","Acre","1074","","","","",""
"2018","Acre","979","","","","",""
"2019","Acre","1081","","","","",""
"2004","Alagoas","3390","","","","",""
"2005","Alagoas","3640","","","","",""
"2006","Alagoas","3602","","","","",""
"2007","Alagoas","3747","","","","",""
"2008","Alagoas","3908","","","","",""
"2009","Alagoas","3782","","","","",""
"2010","Alagoas","4005","","","","",""
"2011","Alagoas","3882","","","","",""
"2012","Alagoas","4447","","","","",""
"2013","Alagoas","4787","","","","",""
"2014","Alagoas","4950","","","","",""
"2015","Alagoas","4910","","","","",""
"2016","Alagoas","4881","","","","",""
"2017","Alagoas","4960","","","","",""
"2018","Alagoas","4709","","","","",""
"2019","Alagoas","4576","","","","",""
"2004","Amapa","501","","","","",""
"2005","Amapa","564","","","","",""
"2006","Amapa","601","","","","",""
"2007","Amapa","626","","","","",""
"2008","Amapa","667","","","","",""
"2009","Amapa","708","","","","",""
"2010","Amapa","786","","","","",""
"2011","Amapa","825","","","","",""
"2012","Amapa","882","","","","",""
"2013","Amapa","961","","","","",""
"2014","Amapa","1015","","","","",""
"2015","Amapa","1056","","","","",""
"2016","Amapa","1114","","","","",""
"2017","Amapa","1073","","","","",""
"2018","Amapa","1054","","","","",""
"2019","Amapa","1074","","","","",""
"2004","Amazonas","3525","","","","",""
"2005","Amazonas","3745","","","","",""
"2006","Amazonas","3924","","","","",""
"2007","Amazonas","4136","","","","",""
"2008","Amazonas","4356","","","","",""
"2009","Amazonas","4362","","","","",""
"2010","Amazonas","4815","","","","",""
"2011","Amazonas","5085","","","","",""
"2012","Amazonas","5596","","","","",""
"2013","Amazonas","5966","","","","",""
"2014","Amazonas","6275","","","","",""
"2015","Amazonas","6357","","","","",""
"2016","Amazonas","5991","","","","",""
"2017","Amazonas","5852","","","","",""
"2018","Amazonas","5966","","","","",""
"2019","Amazonas","6142","","","","",""
"2004","Bahia","17248","","","","",""
"2005","Bahia","17930","","","","",""
"2006","Bahia","18264","","","","",""
"2007","Bahia","19376","","","","",""
"2008","Bahia","20440","","","","",""
"2009","Bahia","19850","","","","",""
"2010","Bahia","21541","","","","",""
"2011","Bahia","20959","","","","",""
"2012","Bahia","21811","","","","",""
"2013","Bahia","23322","","","","",""
"2014","Bahia","24745","","","","",""
"2015","Bahia","24149","","","","",""
"2016","Bahia","23945","","","","",""
"2017","Bahia","24331","","","","",""
"2018","Bahia","25092","","","","",""
"2019","Bahia","25920","","","","",""
"2004","Ceara","6328","","","","",""
"2005","Ceara","6824","","","","",""
"2006","Ceara","6979","","","","",""
"2007","Ceara","7299","","","","",""
"2008","Ceara","7623","","","","",""
"2009","Ceara","7918","","","","",""
"2010","Ceara","8876","","","","",""
"2011","Ceara","9028","","","","",""
"2012","Ceara","10025","","","","",""
"2013","Ceara","10809","","","","",""
"2014","Ceara","11357","","","","",""
"2015","Ceara","11326","","","","",""
"2016","Ceara","11914","","","","",""
"2017","Ceara","11424","","","","",""
"2018","Ceara","11265","","","","",""
"2019","Ceara","12280","","","","",""
"2004","Distrito Federal","3858","","","","",""
"2005","Distrito Federal","4103","","","","",""
"2006","Distrito Federal","4310","","","","",""
"2007","Distrito Federal","4631","","","","",""
"2008","Distrito Federal","4921","","","","",""
"2009","Distrito Federal","5246","","","","",""
"2010","Distrito Federal","5602","","","","",""
"2011","Distrito Federal","5918","","","","",""
"2012","Distrito Federal","6181","","","","",""
"2013","Distrito Federal","6533","","","","",""
"2014","Distrito Federal","6772","","","","",""
"2015","Distrito Federal","6648","","","","",""
"2016","Distrito Federal","6511","","","","",""
"2017","Distrito Federal","6210","","","","",""
"2018","Distrito Federal","6220","","","","",""
"2019","Distrito Federal","6315","","","","",""
"2004","Espirito Santos","7134","","","","",""
"2005","Espirito Santos","7606","","","","",""
"2006","Espirito Santos","8022","","","","",""
"2007","Espirito Santos","8444","","","","",""
"2008","Espirito Santos","8602","","","","",""
"2009","Espirito Santos","7970","","","","",""
"2010","Espirito Santos","9386","","","","",""
"2011","Espirito Santos","9768","","","","",""
"2012","Espirito Santos","10060","","","","",""
"2013","Espirito Santos","10492","","","","",""
"2014","Espirito Santos","10925","","","","",""
"2015","Espirito Santos","11015","","","","",""
"2016","Espirito Santos","9836","","","","",""
"2017","Espirito Santos","9785","","","","",""
"2018","Espirito Santos","10200","","","","",""
"2019","Espirito Santos","10463","","","","",""
"2004","Goias","8051","","","","",""
"2005","Goias","8472","","","","",""
"2006","Goias","8615","","","","",""
"2007","Goias","9061","","","","",""
"2008","Goias","9869","","","","",""
"2009","Goias","10304","","","","",""
"2010","Goias","10905","","","","",""
"2011","Goias","11706","","","","",""
"2012","Goias","13004","","","","",""
"2013","Goias","13615","","","","",""
"2014","Goias","14238","","","","",""
"2015","Goias","15031","","","","",""
"2016","Goias","15079","","","","",""
"2017","Goias","15367","","","","",""
"2018","Goias","16003","","","","",""
"2019","Goias","16490","","","","",""
"2004","Maranhao","8920","","","","",""
"2005","Maranhao","9220","","","","",""
"2006","Maranhao","10130","","","","",""
"2007","Maranhao","10717","","","","",""
"2008","Maranhao","10966","","","","",""
"2009","Maranhao","10794","","","","",""
"2010","Maranhao","11613","","","","",""
